NIT;SUBSECTOR;VENTAS;GASTOFINANCIERO
891300237;AZÚCAR;927038311000;22668059000
891300238;AZÚCAR;668807302000;11965859000
891300241;AZÚCAR;620506000000;16411000000
891300513;AZÚCAR;243640369000;4756276000
891401705;AZÚCAR;314888483000;7098243000
891501133;AZÚCAR;326791125000;31343847000
891900129;AZÚCAR;143558304000;3711401000
891900196;AZÚCAR;148666290000;4956414000
900087414;AZÚCAR;923556562000;26302342000
900150942;AZÚCAR;183389551000;3018041000
900275441;AZÚCAR;13626000000;15000000
900347864;AZÚCAR;3556803000;541576000
800021137;BANANO;157639601000;2064411000
800022051;BANANO;6008980000;348550000
800109363;BANANO;5527884000;146672000
800142181;BANANO;2185530000;169872000
800152266;BANANO;7112725000;24598000
800203175;BANANO;2356075000;19362000
800240245;BANANO;1964988000;176250000
800245275;BANANO;2162678000;163245000
811010512;BANANO;11217522000;638438000
811012468;BANANO;5242524000;147050000
811014217;BANANO;12910319000;41405000
811018266;BANANO;6583698000;23860000
811024238;BANANO;22975123000;463685000
811036701;BANANO;3145022000;92823000
811038838;BANANO;2427331000;23991000
811045043;BANANO;4986312000;147807000
811045791;BANANO;11155494000;93666000
890901756;BANANO;20298073000;578080000
890903329;BANANO;30838590000;1411685000
890929809;BANANO;28546942000;371288000
890930060;BANANO;92245608000;2139240000
890939468;BANANO;480078000;8241000
900031088;BANANO;265185771000;718468000
900044503;BANANO;6135284000;276205000
900059474;BANANO;4803918000;464008000
900088076;BANANO;5099358000;43147000
900088908;BANANO;10548238000;51398000
900088916;BANANO;20256903000;751744000
900089324;BANANO;12651100000;297131000
900147530;BANANO;3548719000;98797000
900317522;BANANO;7125442000;635557000
900326753;BANANO;10659317000;160137000
900407729;BANANO;44368024000;2729775000
900795390;BANANO;24086973000;1224000
900509577;BANCOS;11993000000;4000000
800032071;BEBIDAS ALCOHÓLICAS;29277568000;553689000
830094751;BEBIDAS ALCOHÓLICAS;45081931000;624698000
830110912;BEBIDAS ALCOHÓLICAS;45062650000;624698000
860002026;BEBIDAS ALCOHÓLICAS;49349445000;1005753000
860005224;BEBIDAS ALCOHÓLICAS;4818932000000;30993000000
890801167;BEBIDAS ALCOHÓLICAS;119477870000;1296171000
890900168;BEBIDAS ALCOHÓLICAS;895459188000;12375000
900136638;BEBIDAS ALCOHÓLICAS;849316713000;4769000
809009050;BEBIDAS NO ALCOHÓLICAS;57066907000;788554000
830081407;BEBIDAS NO ALCOHÓLICAS;569393741000;5907615000
860001697;BEBIDAS NO ALCOHÓLICAS;551028000000;4000000
